date,sentiment,Adj Close,Week_Number,month,year
2019-02-26,0,59.571998596191406,9,2,2019
2019-02-27,4,62.948001861572266,9,2,2019
2019-02-28,1,63.97600173950195,9,2,2019
2019-03-01,4,58.95800018310547,9,3,2019
2019-03-04,0,57.071998596191406,10,3,2019
2019-03-05,0,55.30799865722656,10,3,2019
2019-03-06,3,55.24800109863281,10,3,2019
2019-03-07,1,55.31800079345703,10,3,2019
2019-03-08,0,56.827999114990234,10,3,2019
2019-03-11,2,58.183998107910156,11,3,2019
2019-03-12,2,56.672000885009766,11,3,2019
2019-03-13,1,57.79199981689453,11,3,2019
2019-03-14,5,57.992000579833984,11,3,2019
2019-03-15,0,55.08599853515625,11,3,2019
2019-03-18,1,53.89799880981445,12,3,2019
2019-03-19,4,53.49399948120117,12,3,2019
2019-03-20,2,54.720001220703125,12,3,2019
2019-03-21,1,54.80400085449219,12,3,2019
2019-03-25,1,52.08399963378906,13,3,2019
2019-03-26,0,53.55400085449219,13,3,2019
2019-03-27,1,54.965999603271484,13,3,2019
2019-03-28,2,55.7239990234375,13,3,2019
2019-03-29,-1,55.97200012207031,13,3,2019
2019-04-01,5,57.83599853515625,14,4,2019
2019-04-02,3,57.17599868774414,14,4,2019
2019-04-03,0,58.36199951171875,14,4,2019
2019-04-04,2,53.555999755859375,14,4,2019
2019-04-05,2,54.992000579833984,14,4,2019
2019-04-08,3,54.63999938964844,15,4,2019
2019-04-09,4,54.46200180053711,15,4,2019
2019-04-10,-1,55.21200180053711,15,4,2019
2019-04-11,0,53.683998107910156,15,4,2019
2019-04-12,0,53.540000915527344,15,4,2019
2019-04-15,-1,53.2760009765625,16,4,2019
2019-04-16,3,54.672000885009766,16,4,2019
2019-04-17,-1,54.24599838256836,16,4,2019
2019-04-18,1,54.652000427246094,16,4,2019
2019-04-22,1,52.54999923706055,17,4,2019
2019-04-23,3,52.779998779296875,17,4,2019
2019-04-24,2,51.731998443603516,17,4,2019
2019-04-25,0,49.5260009765625,17,4,2019
2019-04-26,-1,47.02799987792969,17,4,2019
2019-04-29,3,48.29399871826172,18,4,2019
2019-04-30,3,47.737998962402344,18,4,2019
2019-05-01,3,46.801998138427734,18,5,2019
2019-05-02,1,48.81999969482422,18,5,2019
2019-05-03,0,51.00600051879883,18,5,2019
2019-05-06,0,51.06800079345703,19,5,2019
2019-05-07,-1,49.4119987487793,19,5,2019
2019-05-08,0,48.96799850463867,19,5,2019
2019-05-09,2,48.395999908447266,19,5,2019
2019-05-10,0,47.90399932861328,19,5,2019
2019-05-13,0,45.402000427246094,20,5,2019
2019-05-14,3,46.46200180053711,20,5,2019
2019-05-15,2,46.38999938964844,20,5,2019
2019-05-16,0,45.66600036621094,20,5,2019
2019-05-17,-1,42.20600128173828,20,5,2019
2019-05-20,3,41.071998596191406,21,5,2019
2019-05-21,2,41.01599884033203,21,5,2019
2019-05-22,0,38.54600143432617,21,5,2019
2019-05-23,0,39.097999572753906,21,5,2019
2019-05-24,-1,38.125999450683594,21,5,2019
2019-05-28,1,37.7400016784668,22,5,2019
2019-05-29,2,37.97200012207031,22,5,2019
2019-05-30,2,37.64400100708008,22,5,2019
2019-05-31,1,37.03200149536133,22,5,2019
2019-06-03,1,35.79399871826172,23,6,2019
2019-06-04,1,38.720001220703125,23,6,2019
2019-06-05,1,39.31800079345703,23,6,2019
2019-06-06,1,41.189998626708984,23,6,2019
2019-06-07,-1,40.900001525878906,23,6,2019
2019-06-10,4,42.57600021362305,24,6,2019
2019-06-11,-1,43.41999816894531,24,6,2019
2019-06-12,4,41.85200119018555,24,6,2019
